log_id,label,user_id,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,net_type,task_id,adv_id,creat_type_cd,adv_prim_id,inter_type_cd,slot_id,site_id,spread_app_id,hispace_app_tags,app_second_class,app_score,ad_click_list_v001,ad_click_list_v002,ad_click_list_v003,ad_close_list_v001,ad_close_list_v002,ad_close_list_v003,pt_d,u_newsCatInterestsST,u_refreshTimes,u_feedLifeCycle
1169835,0,200204,7,3,16,120,4,16,5,19,124,2541,7,30289,19617,8,1542,4,38,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169833,0,200204,7,3,16,120,4,16,5,19,124,2541,7,35368,15525,8,2030,5,38,1,246,47,14,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169831,0,200204,7,3,16,120,4,16,5,19,124,2117,7,33162,22792,8,1041,5,37,1,246,47,14,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169829,0,200204,7,3,16,120,4,16,5,19,124,2117,7,30655,11016,8,1041,5,36,1,246,47,14,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169689,0,200204,7,3,16,120,4,16,5,19,124,2117,7,15265,21998,8,1482,4,35,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169828,0,200204,7,3,16,120,4,16,5,19,124,1710,7,18406,11428,8,2030,5,12,1,246,47,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169826,0,200204,7,3,16,120,4,16,5,19,124,2541,7,30289,19617,8,1542,4,38,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169824,0,200204,7,3,16,120,4,16,5,19,124,2541,7,30289,19617,8,1542,4,38,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169691,0,200204,7,3,16,120,4,16,5,19,124,2117,7,15265,21998,8,1482,4,35,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169822,0,200204,7,3,16,120,4,16,5,19,124,2541,7,30289,19617,8,1542,4,38,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169554,1,200204,7,3,16,120,4,16,5,19,124,1710,7,21560,18397,5,1151,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169675,0,200204,7,3,16,120,4,16,5,19,124,2117,7,15265,21998,8,1482,4,35,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169551,0,200204,7,3,16,120,4,16,5,19,124,2117,7,25997,12387,5,1151,3,36,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169674,0,200204,7,3,16,120,4,16,5,19,124,2117,7,15265,21998,8,1482,4,35,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169549,0,200204,7,3,16,120,4,16,5,19,124,2541,7,35176,12689,5,1438,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169547,0,200204,7,3,16,120,4,16,5,19,124,1710,7,33486,15513,2,1151,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169545,0,200204,7,3,16,120,4,16,5,19,124,2117,7,32551,21221,2,1913,3,44,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169631,0,200204,7,3,16,120,4,16,5,19,124,2541,7,22191,20631,10,1013,4,16,1,181,26,20,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169625,0,200204,7,3,16,120,4,16,5,19,124,2541,7,23707,11663,8,1802,4,38,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169623,0,200204,7,3,16,120,4,16,5,19,124,2541,7,13033,12869,8,1802,4,38,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169621,0,200204,7,3,16,120,4,16,5,19,124,2117,7,23707,11663,8,1802,4,40,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169543,0,200204,7,3,16,120,4,16,5,19,124,2541,7,35176,12689,5,1438,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169542,0,200204,7,3,16,120,4,16,5,19,124,1710,7,35176,12689,5,1438,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169540,0,200204,7,3,16,120,4,16,5,19,124,1710,7,35176,12689,5,1438,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169618,0,200204,7,3,16,120,4,16,5,19,124,2541,7,22191,20631,10,1013,4,16,1,181,26,20,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169538,0,200204,7,3,16,120,4,16,5,19,124,2541,7,35176,19416,5,1438,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169559,0,200204,7,3,16,120,4,16,5,19,124,2541,7,35176,12689,5,1438,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169536,0,200204,7,3,16,120,4,16,5,19,124,2117,7,33486,15513,2,1151,3,44,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169633,0,200204,7,3,16,120,4,16,5,19,124,2541,7,22191,20631,10,1013,4,16,1,181,26,20,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169534,0,200204,7,3,16,120,4,16,5,19,124,2541,7,35176,19416,5,1438,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169531,0,200204,7,3,16,120,4,16,5,19,124,2541,7,21560,18397,5,1151,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169529,0,200204,7,3,16,120,4,16,5,19,124,1710,7,21560,18397,5,1151,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169527,0,200204,7,3,16,120,4,16,5,19,124,2541,7,35176,19416,5,1438,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169525,0,200204,7,3,16,120,4,16,5,19,124,1710,7,32551,21221,2,1913,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169523,0,200204,7,3,16,120,4,16,5,19,124,2541,7,26981,13577,2,1913,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169521,0,200204,7,3,16,120,4,16,5,19,124,2541,7,32551,21221,2,1913,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169561,0,200204,7,3,16,120,4,16,5,19,124,2541,7,26981,13577,2,1913,3,38,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169563,0,200204,7,3,16,120,4,16,5,19,124,1710,7,25997,12387,5,1151,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169519,0,200204,7,3,16,120,4,16,5,19,124,1710,7,32551,21221,2,1913,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169517,0,200204,7,3,16,120,4,16,5,19,124,1710,7,33486,15513,2,1151,3,17,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169820,0,200204,7,3,16,120,4,16,5,19,124,2117,7,30289,19617,8,1542,4,44,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169635,0,200204,7,3,16,120,4,16,5,19,124,2541,7,22191,20631,10,1013,4,16,1,181,26,20,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169818,0,200204,7,3,16,120,4,16,5,19,124,1710,7,30289,19617,8,1542,4,17,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169731,0,200204,7,3,16,120,4,16,5,19,124,2117,7,17042,20644,8,1392,4,40,1,321,43,18,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169817,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169815,0,200204,7,3,16,120,4,16,5,19,124,2541,7,22295,10073,8,1189,4,69,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169813,0,200204,7,3,16,120,4,16,5,19,124,2541,7,12092,16444,8,1189,4,38,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169812,0,200204,7,3,16,120,4,16,5,19,124,2117,7,18406,19392,8,2030,5,36,1,246,47,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169636,0,200204,7,3,16,120,4,16,5,19,124,2541,7,23707,11663,8,1802,4,38,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169638,0,200204,7,3,16,120,4,16,5,19,124,2541,7,22191,20631,10,1013,4,16,1,181,26,20,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169640,0,200204,7,3,16,120,4,16,5,19,124,1710,7,23707,11663,8,1802,4,12,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169642,0,200204,7,3,16,120,4,16,5,19,124,2117,7,23707,11663,8,1802,4,55,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169810,0,200204,7,3,16,120,4,16,5,19,124,2117,7,18406,11428,8,2030,5,36,1,246,47,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169644,0,200204,7,3,16,120,4,16,5,19,124,2541,7,13033,12869,8,1802,4,38,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169646,0,200204,7,3,16,120,4,16,5,19,124,1710,7,13033,12869,8,1802,4,12,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169648,0,200204,7,3,16,120,4,16,5,19,124,2117,7,13033,12869,8,1802,4,47,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169807,0,200204,7,3,16,120,4,16,5,19,124,1710,7,35034,15393,8,1542,4,12,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169805,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169803,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169801,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169799,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169798,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169796,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169794,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169772,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169792,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169789,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169787,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169724,0,200204,7,3,16,120,4,16,5,19,124,1710,7,12632,21645,8,1392,4,12,1,321,43,18,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169505,0,200204,7,3,16,120,4,16,5,19,124,2117,7,33486,15513,2,1151,3,37,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169507,0,200204,7,3,16,120,4,16,5,19,124,2117,7,26981,13577,2,1913,3,55,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169508,0,200204,7,3,16,120,4,16,5,19,124,1710,7,35176,12689,5,1438,3,12,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169609,0,200204,7,3,16,120,4,16,5,19,124,2541,7,10699,22477,10,1509,4,16,1,162,47,14,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169512,0,200204,7,3,16,120,4,16,5,19,124,2117,7,26981,13577,2,1913,3,36,1,213,18,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169786,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169784,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169781,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169779,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169777,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169775,0,200204,7,3,16,120,4,16,5,19,124,2541,7,34975,15769,10,1562,4,16,1,152,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169608,0,200204,7,3,16,120,4,16,5,19,124,2541,7,10699,22477,10,1509,4,16,1,162,47,14,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169431,0,200204,7,3,16,120,4,16,5,19,124,2541,7,20446,20696,10,1635,4,16,1,344,20,13,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169605,0,200204,7,3,16,120,4,16,5,19,124,2541,7,10699,22477,10,1509,4,16,1,162,47,14,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169650,0,200204,7,3,16,120,4,16,5,19,124,1710,7,23707,11663,8,1802,4,12,1,181,26,23,0,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169652,0,200204,7,3,16,120,4,16,5,19,124,2541,7,19693,17932,10,1482,4,16,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169654,0,200204,7,3,16,120,4,16,5,19,124,2541,7,29778,19631,10,1619,4,16,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
1169655,0,200204,7,3,16,120,4,16,5,19,124,2541,7,29778,19631,10,1619,4,16,1,257,49,17,10,16066^21493^28393^33968^11209,1005^1036^1532^1041^1562,309^312^168^246^152,24107,1218,173,2.02206E+11,27^199^187^98^100,9,17
