User,Card,Amount,Use Chip,Merchant State,MCC,Errors?,Is Fraud?,date
49,2,24.31,Swipe Transaction,GA,5300,none,No,1/16/2000 21:50
49,2,3.23,Chip Transaction,GA,5300,none,No,3/6/2000 21:36
49,0,47.18,Swipe Transaction,GA,5300,none,No,6/5/2000 11:54
49,1,10.72,Online Transaction,,5815,none,No,9/8/2000 17:21
49,2,22.59,Online Transaction,,4900,none,No,10/13/2000 8:42
49,2,3.33,Swipe Transaction,GA,5912,none,No,10/16/2000 10:16
49,1,0.97,Swipe Transaction,GA,4214,none,No,11/9/2000 22:46
49,0,36.59,Swipe Transaction,GA,5912,none,No,12/15/2000 8:52
49,0,0.77,Swipe Transaction,GA,5499,none,No,5/31/2001 17:10
49,1,129.34,Swipe Transaction,GA,8043,none,No,6/5/2001 17:26
49,1,0.45,Swipe Transaction,GA,5499,none,No,7/16/2001 18:25
49,1,41.21,Swipe Transaction,GA,5912,none,No,10/26/2001 8:28
49,2,0.73,Chip Transaction,GA,5499,none,No,12/3/2001 11:41
49,2,4.8,Swipe Transaction,GA,7832,none,No,12/8/2001 16:25
49,2,0.64,Swipe Transaction,GA,5499,none,No,12/21/2001 21:44
49,2,35.73,Chip Transaction,GA,7538,none,No,2/1/2002 21:47
49,2,59.69,Swipe Transaction,GA,5912,none,No,3/13/2002 9:13
49,1,0.65,Swipe Transaction,GA,5499,none,No,4/4/2002 8:51
49,0,0.73,Swipe Transaction,GA,5499,none,No,6/3/2002 10:04
49,0,0.91,Swipe Transaction,GA,5499,none,No,6/22/2002 15:56
49,0,84.91,Swipe Transaction,GA,6300,none,No,9/13/2002 11:58
49,1,5.28,Swipe Transaction,GA,7832,none,No,11/4/2002 17:26
49,1,0.91,Swipe Transaction,GA,9402,none,No,11/15/2002 11:22
49,1,0.73,Swipe Transaction,GA,5499,none,No,12/14/2002 10:06
49,2,0.67,Swipe Transaction,GA,5499,none,No,2/1/2003 8:17
49,2,13.48,Chip Transaction,GA,5541,none,No,2/20/2003 13:30
49,2,0.52,Swipe Transaction,GA,5499,none,No,2/27/2003 8:06
49,2,194.58,Swipe Transaction,CA,3395,none,No,2/27/2003 15:34
