date,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
3/10/2004 18:00,2.6,1360,150,11.88172349,1045.5,166,1056.25,113,1692,1267.5,13.5999999,48.87500095,0.757753825
3/10/2004 19:00,2,1292.25,112,9.39716489,954.75,103,1173.75,92,1558.75,972.25,13.29999995,47.69999981,0.725487449
3/10/2004 20:00,2.2,1402,88,8.997816871,939.25,131,1140,114,1554.5,1074,11.9000001,53.97500038,0.750239067
3/10/2004 21:00,2.2,1375.5,80,9.228796421,948.25,172,1092,122,1583.75,1203.25,11,60,0.786712533
3/10/2004 22:00,1.6,1272.25,51,6.518223669,835.5,131,1205,116,1490,1110,11.1500001,59.57500076,0.788794232
3/10/2004 23:00,1.2,1197,38,4.741012362,750.25,89,1336.5,96,1393,949.25,11.17500019,59.17500019,0.784771664
3/11/2004 0:00,1.2,1185,31,3.62439919,689.5,62,1461.75,77,1332.75,732.5,11.32499981,56.77499962,0.760311939
3/11/2004 1:00,1,1136.25,31,3.326676992,672,62,1453.25,76,1332.75,729.5,10.67499995,60,0.770238458
3/11/2004 2:00,0.9,1094,24,2.339416195,608.5,45,1579,60,1276,619.5,10.6500001,59.67499924,0.764818726
3/11/2004 3:00,0.6,1009.75,19,1.696658258,560.75,-200,1705,-200,1234.75,501.25,10.25000024,60.20000076,0.751657165
3/11/2004 4:00,-200,1011,14,1.293619757,526.75,21,1817.5,34,1196.75,445.25,10.07500005,60.47499943,0.746494516
3/11/2004 5:00,0.7,1066,8,1.133430571,512,16,1918,28,1182,421.75,10.99999976,56.17500019,0.7365596
3/11/2004 6:00,0.7,1051.75,16,1.60376788,553.25,34,1738.25,48,1221.25,471.5,10.45000005,58.125,0.735295083
3/11/2004 7:00,1.1,1144,29,3.243618147,667,98,1489.75,82,1339,729.75,10.20000005,59.59999943,0.741736163
3/11/2004 8:00,2,1333.25,64,8.013772987,899.75,174,1136,112,1517,1101.5,10.75,57.42500019,0.740794576
