date,stateAbbr,population,spend_acf,spend_aer,spend_all,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle,spend_apg,spend_grf,spend_hcs,spend_tws,statefips,policy,lndailynewdeaths,dailynewdeaths,lndailynewcases,deaths,cases,dailynewcases
1/24/2020,AK,731545,0.00486,0.0552,-0.0242,-0.00965,0,-0.0652,0.155,-0.0326,-0.151,-0.0709,2,0,0,0,0,0,0,
1/25/2020,AK,731545,-0.0689,0.0198,-0.0447,-0.0425,0,-0.058,0.147,-0.0379,-0.0826,-0.174,2,0,0,0,0,0,0,
1/26/2020,AK,731545,-0.113,0.0652,-0.0271,-0.0226,0,-0.0443,0.195,-0.0223,-0.0965,-0.136,2,0,0,0,0,0,0,
1/27/2020,AK,731545,-0.146,0.15,-0.0282,-0.0397,0,-0.0142,0.187,-0.0176,-0.105,-0.145,2,0,0,0,0,0,0,
1/28/2020,AK,731545,-0.171,-0.0768,-0.0166,-0.0458,0,0.0361,0.15,0.00273,-0.00536,-0.0776,2,0,0,0,0,0,0,
1/29/2020,AK,731545,-0.128,-0.232,-0.0338,-0.0665,0,0.0239,0.0209,0.0214,0.0607,-0.141,2,0,0,0,0,0,0,
1/30/2020,AK,731545,-0.113,-0.273,-0.0014,-0.0514,0,0.0981,0.0564,0.0418,0.103,-0.124,2,0,0,0,0,0,0,
1/31/2020,AK,731545,-0.0682,-0.19,0.0164,-0.03,0,0.12,-0.00633,0.0631,0.00939,-0.0607,2,0,0,0,0,0,0,
2/1/2020,AK,731545,0.0435,-0.243,0.0278,-0.0102,0,0.108,-0.0149,0.0699,-0.164,0.0747,2,0,0,0,0,0,0,
2/2/2020,AK,731545,0.105,-0.276,0.00814,-0.0251,0,0.0747,-0.0312,0.0357,-0.15,-0.00134,2,0,0,0,0,0,0,
2/3/2020,AK,731545,0.157,-0.273,0.0349,0.00589,0,0.0895,-0.0479,0.045,-0.267,0.0361,2,0,0,0,0,0,0,
2/4/2020,AK,731545,0.135,-0.2,0.00811,-0.0127,0,0.0453,-0.0396,0.0542,-0.409,-0.00466,2,0,0,0,0,0,0,
2/5/2020,AK,731545,0.0966,-0.266,0.0184,0.00478,0,0.0449,-0.066,0.0527,-0.423,0.0678,2,0,0,0,0,0,0,
2/6/2020,AK,731545,0.0937,-0.03,-0.0043,-0.00114,0,-0.0152,-0.139,0.0506,-0.494,0.031,2,0,0,0,0,0,0,
2/7/2020,AK,731545,0.0854,-0.0935,0.00307,0.0132,0,-0.0216,-0.111,0.0111,-0.543,0.014,2,0,0,0,0,0,0,
2/8/2020,AK,731545,0.0418,0.0214,0.019,0.0239,0,0.00827,-0.0748,0.00432,-0.517,-0.0342,2,0,0,0,0,0,0,
2/9/2020,AK,731545,0.0217,0.0318,0.0405,0.0451,0,0.0304,-0.0818,0.0294,-0.516,0.037,2,0,0,0,0,0,0,
2/10/2020,AK,731545,0.0279,0.0404,0.0157,0.0495,0,-0.0447,-0.0423,0.0113,-0.495,0.0367,2,0,0,0,0,0,0,
2/11/2020,AK,731545,0.0469,0.0631,0.055,0.0978,0,-0.0202,-0.00964,-0.00799,-0.332,0.108,2,0,0,0,0,0,0,
2/12/2020,AK,731545,-0.0486,0.332,0.0488,0.0996,0,-0.0449,0.0291,-0.019,-0.377,0.175,2,0,0,0,0,0,0,
2/13/2020,AK,731545,-0.0467,0.0933,0.0656,0.113,0,-0.0223,0.126,-0.0206,-0.399,0.131,2,0,0,0,0,0,0,
2/14/2020,AK,731545,-0.053,0.0724,0.0687,0.108,0,-0.00848,0.193,-0.0204,-0.202,0.199,2,0,0,0,0,0,0,
2/15/2020,AK,731545,0.0265,-0.0124,0.0566,0.106,0,-0.0451,0.128,-0.0177,-0.148,0.218,2,0,0,0,0,0,0,
2/16/2020,AK,731545,0.0319,0.0884,0.0505,0.0941,0,-0.0371,0.105,0.00437,-0.15,0.209,2,0,0,0,0,0,0,
2/17/2020,AK,731545,0.0293,-0.00661,0.0677,0.068,0,0.0633,0.0152,0.0556,-0.103,0.232,2,0,0,0,0,0,0,
2/18/2020,AK,731545,0.0717,0.0554,0.054,0.0637,0,0.0288,0.0321,0.013,-0.207,0.118,2,0,0,0,0,0,0,
2/19/2020,AK,731545,0.0804,-0.00116,0.0464,0.0487,0,0.0379,0.0127,0.00312,-0.192,0.0613,2,0,0,0,0,0,0,
2/20/2020,AK,731545,0.0963,-0.0119,0.0251,0.0272,0,0.0181,0.0207,0.00238,-0.136,0.0688,2,0,0,0,0,0,0,
2/21/2020,AK,731545,0.0739,0.149,0.000361,0.00416,0,-0.0103,-0.0332,0.0109,-0.282,0.0137,2,0,0,0,0,0,0,
2/22/2020,AK,731545,0.00948,0.144,0.0137,0.0104,0,0.0177,0.0225,0.0413,-0.346,0.0318,2,0,0,0,0,0,0,
2/23/2020,AK,731545,-0.00226,-0.0476,0.00231,-0.00492,0,0.0127,0.0283,0.0246,-0.358,-0.0353,2,0,0,0,0,0,0,
2/24/2020,AK,731545,-0.047,-0.0396,-0.0197,-0.0422,0,0.0152,0.0468,0.0235,-0.376,-0.0447,2,0,0,0,0,0,0,
2/25/2020,AK,731545,-0.0546,-0.153,-0.0155,-0.019,0,-0.0186,-0.00348,0.0469,-0.32,-0.12,2,0,0,0,0,0,0,
2/26/2020,AK,731545,0.013,-0.186,-0.0314,-0.0311,0,-0.041,0.0055,0.0921,-0.32,-0.139,2,0,0,0,0,0,0,
2/27/2020,AK,731545,-0.00294,-0.274,-0.0216,-0.0141,0,-0.0464,0.0354,0.103,-0.291,-0.0877,2,0,0,0,0,0,0,
2/28/2020,AK,731545,0.00245,-0.336,-0.032,-0.0257,0,-0.0545,0.0689,0.132,-0.327,-0.112,2,0,0,0,0,0,0,
2/29/2020,AK,731545,0.0267,-0.271,-0.00324,0.00515,0,-0.0302,0.0497,0.14,-0.296,-0.0694,2,0,0,0,0,0,0,
3/1/2020,AK,731545,-0.0256,-0.249,-0.033,-0.0199,0,-0.0669,0.0341,0.0987,-0.295,-0.0506,2,0,0,0,0,0,0,
3/2/2020,AK,731545,0.0019,-0.162,-0.0165,0.0161,0,-0.0796,0.0555,0.107,-0.206,-0.0639,2,0,0,0,0,0,0,
3/3/2020,AK,731545,-0.00297,-0.138,-0.0122,0.0207,0,-0.0766,0.0284,0.167,-0.225,-0.0348,2,0,0,0,0,0,0,
3/4/2020,AK,731545,-0.0228,-0.113,-0.00889,0.0239,0,-0.0719,0.0712,0.167,-0.159,0.0297,2,0,0,0,0,0,0,
3/5/2020,AK,731545,-0.0105,-0.232,0.0135,0.0408,0,-0.0435,0.0841,0.177,-0.159,0.0476,2,0,0,0,0,0,0,
